PerfectGroup(61440,44) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,45) |Phi|=4 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(61440,46) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,47) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,48) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,49) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,50) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,51) |Phi|=64 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,52) |Phi|=1024 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,53) |Phi|=1024 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,54) |Phi|=1024 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,55) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,56) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,57) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,58) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,59) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,60) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,61) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,62) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,63) |Phi|=4 violated by |a|=4 |b|=5 |ab|=10
PerfectGroup(61440,64) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,65) |Phi|=4 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,66) |Phi|=4 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,67) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,68) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,69) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,70) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,71) |Phi|=4 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,72) |Phi|=4 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,73) |Phi|=4 violated by |a|=4 |b|=5 |ab|=5
PerfectGroup(61440,74) |Phi|=4 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,75) |Phi|=4 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(61440,76) |Phi|=1024 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(61440,77) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(61440,78) |Phi|=64 violated by |a|=2 |b|=3 |ab|=3
